Registration No.,Name,Age,Gender,Education,Interest,Emotional Stability (%),Conscientiousness (%),Openness (%),Thinking Score,Extroversion (%),Agreeableness (%),Neuroticism (%),Dominance (%),Risk Taking (%)
3490,Priya,88,Male,Graduation,Reading,40,82,77,40,96,45,16,90,89
3493,Ishita,39,Male,Post Graduation,Gaming,53,28,92,54,0,50,76,94,32
3496,Arjun,26,Female,School,Writing,72,41,39,26,96,30,85,42,70
3500,Aanya,14,Female,School,Cooking,63,73,87,80,93,80,88,55,30
3503,Zara,67,Male,Graduation,Painting,14,92,85,51,21,85,60,36,44
3504,Aditya,24,Female,School,Photography,12,88,97,62,29,37,91,40,12
3505,Ananya,55,Female,Post Graduation,Cooking,54,12,8,100,8,56,57,19,33
3507,Sanya,76,Male,School,Reading,12,82,19,52,4,97,30,76,76
3510,Aryan,36,Female,School,Cooking,83,9,78,62,93,38,15,89,53
3519,Tanvi,6,Male,Graduation,Gaming,48,84,69,37,88,54,59,88,86
3525,Tanvi,79,Female,Post Graduation,Sports,98,6,67,43,93,32,15,99,60
3532,Vivaan,64,Female,Post Graduation,Painting,95,32,86,89,54,10,10,5,29
3537,Priya,91,Male,School,Traveling,88,8,70,59,42,62,16,39,53
3539,Ishita,7,Male,Graduation,Traveling,43,58,25,72,42,30,4,95,43
3541,Vivaan,70,Male,School,Writing,6,93,7,32,63,71,18,72,97
3542,Diya,2,Female,School,Music,86,96,82,85,46,2,31,50,67
3543,Aditya,13,Female,Graduation,Traveling,64,85,42,57,5,7,95,77,37
3546,Zara,47,Male,Graduation,Music,56,64,81,5,16,48,58,35,52
3549,Zara,80,Male,Post Graduation,Painting,54,9,11,33,29,62,88,80,29
3553,Zara,22,Male,Post Graduation,Photography,16,50,42,1,67,47,77,10,11
3556,Aanya,25,Male,Post Graduation,Music,38,23,39,25,5,48,88,36,3
3557,Rohan,57,Male,School,Sports,91,81,64,37,98,49,74,55,11
3564,Tanvi,8,Male,School,Painting,10,57,63,86,11,88,56,78,61
3565,Aryan,76,Female,Graduation,Music,89,4,31,20,18,91,23,44,19
3579,Kabir,85,Male,School,Writing,100,99,64,21,69,100,43,28,23
3584,Vihaan,18,Male,Graduation,Traveling,19,24,20,28,23,19,78,54,49
3588,Sanya,11,Male,Post Graduation,Reading,98,74,79,65,43,78,41,1,37
3596,Rohan,79,Male,Post Graduation,Painting,43,40,15,98,60,98,86,48,79
3600,Ananya,65,Female,Graduation,Music,68,37,100,49,35,58,86,12,63
3602,Vihaan,94,Male,Graduation,Music,95,5,42,2,35,18,68,39,9
3606,Kabir,90,Male,School,Writing,32,22,37,78,71,45,37,13,93
3609,Sanya,94,Female,Graduation,Gaming,25,57,38,45,68,17,85,28,16
3611,Sai,90,Male,Graduation,Dancing,85,52,87,94,77,38,68,77,16
3615,Ishita,35,Male,Graduation,Painting,28,28,3,74,6,63,81,13,88
3622,Aanya,95,Female,Post Graduation,Photography,7,34,33,26,42,93,31,7,59
3629,Aditya,37,Female,School,Gaming,88,46,55,89,6,9,100,76,29
3631,Vivaan,29,Female,Graduation,Dancing,64,23,77,65,6,2,62,48,8
3638,Tanvi,69,Male,Graduation,Cooking,78,50,51,26,94,32,13,70,99
3657,Sai,65,Female,Graduation,Sports,42,31,32,56,92,98,50,0,6
3662,Kabir,53,Male,Graduation,Dancing,68,24,41,4,6,76,37,87,89
3664,Ishita,34,Female,Post Graduation,Sports,58,56,22,65,6,37,1,11,16
3668,Diya,8,Female,School,Traveling,96,3,93,55,24,42,8,79,46
3683,Ananya,90,Female,Graduation,Dancing,72,91,25,51,78,77,1,87,86
3698,Sai,69,Female,Graduation,Cooking,100,45,58,25,67,69,45,4,88
3699,Riya,53,Male,School,Photography,9,33,75,56,59,14,1,69,97
3707,Ananya,40,Female,Graduation,Cooking,80,55,75,50,3,70,47,35,31
3708,Kabir,95,Female,School,Reading,4,90,65,21,10,66,37,27,36
3710,Sai,10,Male,Graduation,Painting,49,79,91,5,16,37,20,23,97
3712,Ananya,8,Female,School,Music,21,78,6,80,2,17,45,71,41
3723,Tanvi,41,Male,Post Graduation,Cooking,75,100,93,74,62,34,97,9,74
3726,Aditya,47,Female,School,Cooking,38,43,2,89,51,58,17,5,21
3741,Diya,14,Male,School,Music,29,24,80,22,39,58,91,14,96
3743,Ananya,47,Female,Graduation,Reading,85,71,85,97,98,8,20,11,87
3748,Aryan,74,Female,Post Graduation,Gaming,65,12,36,43,56,77,19,88,83
3749,Kabir,52,Male,Post Graduation,Photography,29,5,43,81,90,58,34,80,24
3750,Krishna,33,Male,School,Reading,46,78,83,37,15,3,12,18,14
3758,Kabir,99,Male,Graduation,Music,82,78,95,26,26,52,75,64,86
3769,Diya,66,Male,Post Graduation,Reading,33,5,40,95,16,76,83,53,54
3773,Priya,10,Male,School,Reading,75,79,99,45,38,27,7,5,0
3787,Aditya,40,Female,School,Music,83,4,32,94,30,21,20,95,38
3796,Aditya,97,Male,School,Painting,61,14,11,58,83,73,94,85,21
3799,Ananya,1,Male,Graduation,Reading,59,52,63,82,58,32,17,33,51
3805,Myra,60,Female,Post Graduation,Writing,67,46,27,92,27,37,87,88,32
3814,Kabir,35,Female,School,Photography,72,43,21,81,7,85,4,48,52
3815,Ishita,98,Female,Post Graduation,Sports,49,31,14,3,61,33,16,16,67
3824,Aanya,56,Male,Post Graduation,Gaming,69,0,55,22,61,30,10,65,6
3825,Zara,60,Male,School,Gaming,29,94,21,2,20,20,58,23,98
3827,Rohan,59,Female,School,Gaming,57,96,80,33,29,8,85,83,41
3834,Myra,36,Female,Graduation,Cooking,65,49,28,61,91,53,65,22,58
3843,Ananya,74,Female,Graduation,Sports,34,32,56,53,18,48,27,68,80
3856,Riya,80,Female,School,Reading,84,71,94,59,47,61,22,40,36
3857,Rohan,36,Male,School,Sports,19,64,57,60,93,21,47,51,12
3861,Aarav,16,Male,Graduation,Painting,96,98,0,56,68,81,78,24,52
3864,Riya,34,Female,Post Graduation,Music,53,65,90,11,82,84,34,25,61
3865,Arjun,61,Female,Post Graduation,Reading,12,96,55,64,75,31,42,46,93
3872,Zara,3,Female,Graduation,Painting,46,63,54,29,100,81,41,90,77
3880,Zara,3,Female,Post Graduation,Cooking,81,79,52,100,79,53,5,88,13
3882,Zara,37,Female,School,Sports,74,61,6,75,13,32,78,76,24
3888,Diya,99,Female,Post Graduation,Reading,99,67,92,77,53,16,25,97,0
3895,Vihaan,42,Male,Graduation,Painting,40,65,88,73,46,83,97,46,86
3897,Aditya,10,Female,Post Graduation,Dancing,100,27,29,95,61,89,68,63,99
3905,Krishna,37,Female,Graduation,Reading,89,60,46,29,72,26,44,61,97
3916,Ishita,66,Female,Post Graduation,Writing,89,59,52,16,40,13,0,19,22
3918,Ishita,38,Female,Graduation,Traveling,22,99,0,34,41,20,53,79,28
3920,Kabir,40,Female,Graduation,Gaming,36,62,35,25,78,69,85,81,82
3922,Arjun,49,Female,Post Graduation,Painting,36,79,94,81,10,7,76,82,21
3924,Aryan,49,Female,School,Writing,64,100,22,65,40,2,64,41,18
3927,Vihaan,61,Female,Post Graduation,Painting,73,46,6,18,33,45,57,1,54
3934,Vivaan,96,Female,School,Painting,67,98,99,2,79,97,8,46,42
3938,Vivaan,94,Female,Post Graduation,Dancing,41,36,4,24,65,63,71,44,99
3945,Kabir,83,Male,School,Traveling,72,41,63,50,0,6,57,11,96
3946,Aryan,60,Female,School,Writing,87,1,71,48,57,81,79,5,12
3948,Myra,26,Male,Graduation,Writing,84,33,81,59,66,11,68,81,7
3957,Riya,14,Male,School,Music,66,37,71,91,62,80,10,30,47
3958,Sanya,83,Female,Post Graduation,Painting,44,69,48,82,63,25,22,96,51
3964,Aarav,51,Female,Post Graduation,Painting,70,52,41,59,37,12,91,80,3
3966,Krishna,9,Female,Graduation,Music,65,25,20,13,91,64,97,69,62
3969,Aditya,34,Female,Graduation,Traveling,69,55,87,76,16,27,40,19,2
3973,Ananya,24,Female,Post Graduation,Music,98,29,74,7,90,93,39,95,55
3975,Sanya,64,Male,School,Traveling,73,93,95,69,0,67,76,9,42
3977,Ishita,75,Female,School,Reading,90,48,57,78,35,31,100,54,62
3979,Aarav,49,Male,Post Graduation,Music,95,91,81,96,45,10,0,45,95
3980,Ananya,46,Female,Graduation,Sports,89,66,96,53,81,17,46,16,39
3981,Vivaan,60,Male,Graduation,Painting,88,92,45,27,35,35,35,31,17
3989,Kabir,52,Female,Graduation,Cooking,0,3,6,41,77,16,27,25,10
3999,Zara,25,Male,Graduation,Traveling,35,2,97,67,73,94,84,6,16
4004,Sanya,87,Female,Graduation,Photography,44,99,32,8,31,64,60,29,65
4006,Priya,45,Male,School,Dancing,13,26,50,27,98,99,2,20,68
4009,Aarav,70,Female,Post Graduation,Reading,18,10,47,34,56,27,77,87,77
4013,Riya,46,Male,Graduation,Sports,71,98,18,18,59,47,57,73,54
4017,Myra,96,Female,Graduation,Traveling,51,100,12,59,76,84,62,78,28
4021,Vihaan,85,Male,Post Graduation,Reading,36,9,58,76,12,74,17,23,12
4022,Arjun,67,Female,Graduation,Painting,46,59,60,44,40,76,82,26,28
4025,Arjun,41,Female,School,Traveling,94,22,17,96,46,81,93,33,45
4026,Priya,19,Female,Post Graduation,Dancing,16,12,86,23,86,100,82,90,37
4035,Vivaan,12,Male,School,Cooking,55,58,21,29,75,74,57,38,7
4036,Ishita,26,Female,Graduation,Traveling,54,8,14,42,64,3,33,34,43
4050,Krishna,56,Male,Post Graduation,Cooking,54,87,48,92,64,10,15,18,23
4051,Aryan,7,Male,Graduation,Writing,7,2,75,60,36,97,27,34,14
4052,Myra,44,Female,School,Sports,93,66,68,40,18,94,3,62,76
4059,Rohan,45,Male,School,Traveling,19,77,12,64,21,19,4,92,58
4071,Arjun,82,Female,Post Graduation,Writing,87,18,34,9,77,75,41,72,10
4072,Vihaan,64,Female,School,Music,31,28,23,78,38,39,7,95,52
4074,Aanya,39,Female,Graduation,Sports,44,88,79,84,20,9,67,28,58
4079,Diya,50,Female,Post Graduation,Music,60,65,26,62,79,4,37,45,92
4092,Aryan,10,Female,School,Writing,20,13,32,21,47,46,94,32,37
4100,Arjun,98,Male,Graduation,Music,15,18,58,27,83,55,24,34,29
4102,Riya,60,Male,Post Graduation,Reading,93,77,0,18,76,21,22,12,53
4106,Sai,50,Female,School,Cooking,68,23,0,62,100,19,63,0,19
4108,Aryan,72,Male,Graduation,Cooking,89,97,8,59,49,20,25,76,63
4111,Arjun,96,Female,Post Graduation,Traveling,14,2,49,21,79,85,20,43,6
4125,Kabir,51,Female,Graduation,Cooking,97,45,35,51,5,92,80,44,100
4138,Aryan,95,Female,School,Reading,55,39,73,87,89,8,42,19,50
4139,Tanvi,59,Female,Post Graduation,Traveling,99,29,21,5,33,49,25,59,64
4145,Aditya,55,Male,Graduation,Dancing,9,47,81,67,26,65,69,15,62
4149,Myra,52,Male,Graduation,Photography,52,86,61,35,65,35,0,26,23
4152,Sai,86,Female,School,Music,15,14,57,14,59,4,29,29,49
4154,Zara,7,Male,Post Graduation,Dancing,41,43,78,48,59,94,75,70,7
4156,Aarav,13,Male,Graduation,Photography,10,17,47,5,60,25,5,3,28
4158,Priya,69,Female,Post Graduation,Photography,40,33,77,43,80,46,33,33,89
4160,Myra,67,Male,Graduation,Music,3,98,40,21,11,46,40,10,95
4170,Vihaan,76,Female,Post Graduation,Gaming,12,59,27,26,66,27,99,31,24
4178,Aarav,26,Male,School,Dancing,0,45,42,40,60,95,81,30,40
4183,Krishna,74,Female,Post Graduation,Reading,41,42,69,6,31,15,31,41,20
4185,Diya,69,Female,School,Photography,76,62,91,65,51,44,43,9,84
4194,Ishita,16,Female,Graduation,Dancing,65,99,13,4,25,35,62,21,20
4195,Sanya,36,Male,Graduation,Cooking,28,7,3,11,82,95,49,49,94
4205,Diya,73,Male,Graduation,Writing,74,16,26,87,64,21,9,16,91
4207,Krishna,99,Male,Post Graduation,Reading,50,99,41,20,35,95,33,2,54
4210,Aditya,58,Female,School,Gaming,93,82,8,58,18,61,61,35,54
4212,Aditya,72,Female,Post Graduation,Dancing,74,84,69,43,67,71,64,28,69
4213,Rohan,70,Male,Graduation,Writing,92,88,57,16,58,90,81,45,43
4219,Diya,68,Male,School,Painting,87,93,45,86,99,63,74,89,38
4233,Tanvi,21,Male,Post Graduation,Painting,15,37,60,88,14,72,94,60,65
4238,Riya,49,Female,School,Traveling,66,100,13,46,1,78,52,29,51
4240,Krishna,86,Female,Post Graduation,Painting,17,35,19,49,91,8,7,34,37
4241,Rohan,7,Male,Graduation,Sports,68,98,63,4,65,69,63,62,79
4243,Sai,78,Male,School,Cooking,0,76,25,6,69,41,46,42,37
4254,Sai,72,Female,Graduation,Music,43,95,63,59,87,81,46,44,32
4256,Zara,15,Female,Graduation,Painting,80,84,84,14,30,56,67,7,62
4264,Sai,95,Female,Post Graduation,Dancing,93,0,22,69,13,72,5,63,39
4273,Aanya,46,Male,Post Graduation,Traveling,30,60,5,56,72,81,6,61,80
4283,Vivaan,83,Female,Graduation,Traveling,59,67,21,56,11,81,57,74,8
4287,Diya,13,Male,School,Writing,30,5,97,59,14,76,84,98,66
4288,Sanya,38,Male,Post Graduation,Dancing,13,19,69,52,82,27,52,40,100
4293,Sai,73,Female,School,Traveling,32,59,61,10,75,56,59,98,62
4296,Sai,5,Female,School,Photography,1,35,40,58,54,8,66,49,20
4297,Diya,89,Male,Post Graduation,Writing,6,14,91,49,50,79,23,53,94
4305,Krishna,97,Female,School,Cooking,64,13,71,41,98,56,46,97,20
4310,Kabir,98,Female,Graduation,Music,99,92,64,99,89,74,90,74,95
4311,Arjun,25,Male,Graduation,Traveling,52,22,53,82,56,19,33,51,23
4313,Arjun,59,Female,Graduation,Writing,65,95,51,57,78,48,5,39,46
4317,Aarav,81,Female,Graduation,Cooking,87,27,3,37,54,31,16,31,11
4318,Riya,86,Male,Graduation,Dancing,29,68,9,27,76,96,15,73,8
4320,Sai,67,Male,School,Writing,89,77,15,62,75,71,88,97,69
4322,Aanya,8,Male,Post Graduation,Gaming,69,17,61,22,27,4,96,46,64
4325,Aryan,86,Female,Post Graduation,Photography,73,14,0,50,73,17,55,32,89
4333,Rohan,38,Male,School,Photography,85,85,9,21,73,77,44,41,48
4340,Aryan,19,Female,Graduation,Painting,99,61,7,64,18,6,29,7,22
4342,Aarav,60,Male,Graduation,Music,39,90,67,68,66,70,45,99,99
4349,Aanya,45,Male,Graduation,Traveling,73,66,21,58,51,81,94,99,20
4355,Rohan,42,Male,Post Graduation,Music,21,13,85,1,59,41,27,54,35
4356,Myra,8,Male,Post Graduation,Dancing,0,13,76,56,66,99,85,9,82
4360,Arjun,13,Male,Graduation,Photography,18,28,23,27,30,85,6,72,65
4364,Riya,42,Female,Post Graduation,Gaming,76,29,37,61,84,40,33,18,6
4365,Aanya,52,Male,School,Dancing,47,91,92,55,22,15,9,87,95
4373,Tanvi,39,Female,Graduation,Traveling,4,69,35,87,90,44,12,9,11
4374,Riya,61,Male,Graduation,Sports,55,64,42,33,19,72,10,37,39
4378,Ishita,15,Female,Post Graduation,Photography,52,50,95,71,68,61,63,54,4
4379,Vihaan,96,Female,Post Graduation,Gaming,92,26,70,100,58,16,29,78,28
4382,Rohan,34,Female,Graduation,Music,86,50,5,17,25,17,76,44,30
4385,Diya,74,Male,Graduation,Painting,9,40,98,70,23,7,19,22,48
4386,Zara,79,Male,School,Gaming,24,89,3,40,96,50,78,57,18
4388,Tanvi,83,Female,Graduation,Painting,13,20,91,43,44,78,10,62,90
4396,Priya,90,Male,School,Reading,75,74,15,56,64,79,38,85,28
4397,Rohan,41,Male,School,Sports,11,42,9,33,34,80,28,78,23
4401,Zara,10,Male,Post Graduation,Photography,36,34,10,22,87,11,40,59,31
4410,Ananya,70,Female,School,Dancing,13,38,97,84,63,46,52,20,66
4411,Aryan,5,Female,Graduation,Music,64,86,83,99,53,0,39,12,72
4415,Aditya,63,Female,School,Dancing,11,49,98,91,41,21,65,50,0
4427,Aarav,85,Female,Graduation,Traveling,96,52,82,100,81,47,71,22,54
4429,Arjun,19,Female,School,Dancing,87,42,99,69,95,80,73,9,92
4434,Priya,45,Male,Graduation,Dancing,12,21,49,93,8,83,16,10,19
4436,Aryan,95,Female,School,Photography,76,2,24,1,25,25,52,37,24
4438,Riya,86,Female,Post Graduation,Gaming,89,97,43,50,21,85,25,94,19
4441,Aryan,31,Male,School,Reading,41,65,70,10,33,13,54,6,75
4448,Vivaan,44,Male,Post Graduation,Dancing,18,46,86,58,98,29,94,92,31
4453,Diya,69,Female,School,Sports,77,19,3,56,99,88,86,7,44
4456,Aarav,97,Male,School,Painting,70,18,48,9,1,42,89,86,73
4465,Aditya,61,Male,Post Graduation,Photography,38,20,67,58,75,71,8,87,85
4471,Tanvi,3,Male,Post Graduation,Painting,100,38,80,39,62,39,13,1,66
4472,Vihaan,1,Female,School,Traveling,39,96,53,83,93,64,60,95,87
4476,Aryan,83,Female,Post Graduation,Photography,37,70,95,67,58,53,1,77,8
4478,Kabir,41,Male,Post Graduation,Painting,70,20,46,63,80,37,7,90,15
4479,Tanvi,75,Female,School,Painting,32,52,90,18,72,84,21,11,4
4484,Diya,95,Female,Post Graduation,Dancing,91,15,100,92,4,93,39,67,55
4485,Vihaan,15,Female,Post Graduation,Photography,29,18,8,8,64,28,97,0,60
4487,Riya,69,Female,School,Reading,3,36,57,47,73,79,7,20,64
4488,Aryan,41,Male,Post Graduation,Traveling,8,42,28,16,8,20,37,31,67
4489,Myra,63,Female,Graduation,Music,91,99,28,78,63,13,18,42,9
4493,Sai,62,Female,School,Reading,63,26,92,29,28,13,49,35,73
4499,Aanya,86,Male,School,Cooking,50,27,18,14,18,43,58,59,11
4514,Vihaan,78,Female,Graduation,Sports,36,63,26,75,38,14,44,8,95
4517,Ananya,56,Male,Graduation,Writing,8,42,41,2,79,80,24,67,48
4518,Aarav,34,Male,Graduation,Writing,91,60,61,66,67,69,54,70,11
4524,Aanya,58,Female,School,Writing,35,76,2,10,69,32,10,39,0
4534,Sanya,63,Male,Graduation,Painting,63,23,20,57,80,32,32,20,49
4535,Aryan,11,Female,Post Graduation,Music,15,76,10,18,17,100,69,97,26
4546,Diya,32,Male,Graduation,Sports,39,29,69,70,86,73,4,56,50
4547,Zara,53,Male,Post Graduation,Music,70,99,4,20,12,80,87,43,54
4549,Zara,61,Female,Graduation,Photography,62,20,52,34,90,34,84,57,24
4553,Aanya,87,Female,School,Sports,18,49,54,57,22,10,38,25,14
4554,Sai,6,Female,Post Graduation,Photography,8,85,57,32,14,41,36,18,72
4559,Arjun,63,Male,Graduation,Gaming,85,59,11,21,48,36,62,34,23
4572,Vihaan,8,Male,School,Writing,57,22,17,28,84,69,86,62,35
4573,Zara,46,Male,Post Graduation,Reading,16,32,14,24,19,67,90,63,98
4591,Aryan,12,Female,Post Graduation,Reading,63,22,56,96,27,8,44,20,67
4597,Ishita,61,Female,Graduation,Dancing,74,35,52,72,58,88,100,20,90
4600,Diya,80,Female,Post Graduation,Dancing,99,1,28,57,53,37,76,22,64
4604,Tanvi,86,Female,Post Graduation,Photography,50,73,33,52,73,62,1,62,64
4605,Diya,38,Female,School,Traveling,77,7,92,61,30,100,44,69,79
4615,Krishna,1,Male,Post Graduation,Music,7,89,96,73,2,76,8,49,42
4616,Zara,19,Male,School,Painting,90,72,91,62,20,13,36,42,60
4618,Sanya,40,Male,Post Graduation,Sports,75,33,35,82,1,84,90,93,88
4624,Ananya,99,Female,Graduation,Photography,61,39,86,43,22,11,8,61,16
4625,Kabir,70,Female,School,Cooking,46,79,4,9,100,79,49,98,59
4626,Myra,60,Male,Graduation,Music,24,34,52,41,62,32,9,50,6
4647,Priya,67,Male,School,Dancing,57,88,27,64,19,69,78,23,50
4650,Aanya,43,Male,Graduation,Cooking,87,43,33,66,85,8,75,57,10
4651,Rohan,46,Male,Graduation,Music,69,24,67,43,25,11,91,84,54
4652,Arjun,74,Female,Post Graduation,Reading,18,85,56,60,47,60,91,64,12
4659,Sai,66,Male,School,Cooking,71,58,18,54,14,39,32,13,76
4663,Rohan,74,Male,Post Graduation,Dancing,64,65,38,69,75,39,25,92,62
4669,Tanvi,36,Female,School,Music,98,54,33,57,66,55,3,14,30
4672,Zara,74,Female,School,Writing,99,99,92,32,32,92,67,10,89
4674,Kabir,49,Male,Graduation,Photography,5,55,4,87,41,51,37,37,32
4678,Rohan,17,Male,School,Writing,46,99,88,3,97,4,20,83,67
4683,Sanya,47,Female,Post Graduation,Traveling,59,82,90,13,84,67,64,78,59
4688,Myra,99,Female,School,Traveling,43,14,20,40,34,100,72,3,42
4697,Myra,82,Male,Post Graduation,Gaming,73,4,53,86,79,86,23,95,88
4709,Vivaan,42,Male,Post Graduation,Gaming,2,22,42,99,28,25,71,30,43
4717,Ananya,61,Female,Post Graduation,Reading,45,14,35,78,93,27,18,30,9
4738,Zara,61,Male,Graduation,Traveling,64,81,2,13,20,86,17,71,36
4739,Myra,32,Female,Post Graduation,Music,18,66,40,32,96,75,59,24,90
4741,Aryan,6,Female,Post Graduation,Music,25,93,20,16,75,7,31,21,87
4742,Vihaan,25,Female,Post Graduation,Traveling,43,22,35,83,18,82,1,68,43
4746,Ananya,79,Female,Post Graduation,Writing,82,55,4,27,63,21,94,14,19
4752,Vihaan,60,Male,Graduation,Photography,6,47,22,67,44,47,67,19,89
4762,Myra,38,Female,Graduation,Dancing,58,31,14,100,19,92,54,52,67
4770,Ishita,95,Male,Graduation,Reading,96,27,33,3,70,57,9,46,58
4771,Arjun,29,Female,Post Graduation,Writing,21,92,23,72,74,22,24,11,76
4772,Kabir,99,Male,School,Music,39,49,53,34,99,7,44,57,39
4784,Kabir,25,Female,Post Graduation,Writing,5,8,15,33,42,54,49,16,67
4798,Myra,19,Female,Post Graduation,Gaming,30,80,12,28,56,19,63,59,31
4801,Riya,70,Female,School,Traveling,63,13,5,9,76,57,13,41,40
4809,Myra,41,Female,Graduation,Reading,31,44,65,46,70,72,85,97,51
4814,Vihaan,77,Male,Graduation,Sports,73,15,29,74,64,23,4,18,58
4829,Vivaan,10,Male,School,Writing,74,72,39,80,79,86,46,25,0
4831,Aditya,14,Female,Graduation,Dancing,78,78,16,100,48,44,77,47,17
4839,Tanvi,26,Female,School,Writing,35,74,61,63,26,6,7,96,52
4845,Krishna,12,Female,School,Photography,47,93,12,38,95,68,1,71,41
4851,Krishna,2,Male,Graduation,Photography,100,71,33,70,4,18,60,74,2
4853,Priya,15,Female,School,Traveling,35,80,14,97,68,43,49,56,68
4859,Zara,76,Male,Graduation,Music,7,29,82,67,37,84,96,7,58
4860,Rohan,33,Male,Post Graduation,Writing,74,39,92,48,98,100,73,29,47
4864,Aryan,97,Female,Graduation,Writing,74,17,72,82,19,60,5,32,4
4867,Krishna,35,Male,Graduation,Cooking,54,95,100,74,34,21,86,10,50
4869,Ananya,27,Female,School,Photography,89,36,85,17,72,63,22,0,89
4871,Priya,8,Female,Graduation,Gaming,54,74,57,19,60,65,81,21,71
4875,Ishita,86,Female,Post Graduation,Painting,90,12,53,35,14,30,45,82,81
4885,Sanya,16,Male,School,Gaming,15,35,46,99,56,79,60,20,85
4899,Vivaan,20,Male,Graduation,Dancing,69,58,42,10,81,42,30,3,1
4904,Aanya,75,Male,Post Graduation,Painting,18,33,55,64,62,82,5,39,69
4905,Diya,41,Male,Post Graduation,Cooking,19,72,34,18,30,100,67,37,70
4914,Diya,9,Female,Post Graduation,Reading,60,42,96,80,53,88,75,3,91
4915,Kabir,84,Female,Graduation,Cooking,76,56,40,49,73,83,87,41,76
4925,Myra,83,Female,School,Music,39,25,83,18,92,2,26,82,81
4931,Diya,5,Male,Graduation,Sports,69,1,60,62,50,46,88,49,54
4938,Arjun,98,Female,Post Graduation,Dancing,38,34,95,60,79,71,84,68,51
4940,Sai,95,Female,School,Writing,46,58,30,43,27,7,69,62,12
4946,Aryan,79,Female,Post Graduation,Traveling,20,3,36,66,7,51,61,79,88
4951,Krishna,20,Female,Graduation,Gaming,65,65,59,39,59,63,32,41,86
4952,Krishna,59,Male,School,Painting,52,54,73,89,35,77,11,17,76
4974,Kabir,45,Female,School,Dancing,86,23,14,39,65,23,12,80,23
4985,Aanya,17,Male,Graduation,Traveling,90,61,91,36,89,80,91,28,92
4987,Sai,17,Female,School,Traveling,82,23,82,92,60,31,53,86,49
4997,Kabir,55,Female,Post Graduation,Photography,6,27,59,92,44,88,33,98,67
5006,Ishita,32,Male,Post Graduation,Painting,65,13,77,19,38,35,20,21,72
5014,Vivaan,31,Male,Graduation,Cooking,75,45,36,45,41,83,1,41,39
5018,Ananya,20,Female,School,Painting,6,89,78,94,16,6,71,46,49
5020,Diya,80,Female,Graduation,Gaming,94,89,85,9,23,22,46,27,86
5023,Krishna,95,Male,Post Graduation,Sports,57,64,25,55,47,57,32,5,42
5035,Aryan,1,Male,Post Graduation,Reading,82,56,57,6,46,84,59,14,80
5043,Kabir,65,Male,Post Graduation,Writing,68,0,70,84,66,26,65,49,5
5048,Aarav,35,Female,Graduation,Painting,66,51,72,74,35,23,78,64,30
5050,Sanya,40,Female,Post Graduation,Writing,69,24,18,50,7,89,15,9,17
5057,Krishna,52,Female,School,Gaming,43,70,26,38,74,51,32,97,77
5060,Arjun,58,Female,Post Graduation,Dancing,70,75,51,3,40,63,43,24,2
5070,Vihaan,3,Male,Post Graduation,Dancing,36,19,25,1,41,87,7,25,75
5071,Myra,19,Male,Post Graduation,Sports,42,71,54,1,65,100,66,75,10
5073,Aditya,26,Female,School,Dancing,44,19,31,13,53,39,13,71,31
5077,Sanya,50,Male,Post Graduation,Writing,38,92,23,11,14,51,46,85,90
5080,Aditya,51,Female,School,Music,70,74,85,41,57,87,50,96,48
5082,Riya,48,Male,School,Dancing,41,5,99,2,18,80,42,65,91
5087,Aanya,92,Female,Graduation,Music,55,78,84,10,31,18,67,82,52
5094,Zara,6,Female,Post Graduation,Photography,88,4,43,83,69,65,8,56,40
5095,Krishna,36,Male,Post Graduation,Writing,85,70,78,10,48,73,25,3,86
5098,Aarav,28,Female,Graduation,Traveling,94,66,19,62,71,83,94,29,0
5100,Zara,63,Male,Graduation,Sports,38,1,37,89,85,42,37,23,77
5102,Vihaan,92,Female,Post Graduation,Dancing,15,54,34,85,38,27,40,4,84
5103,Arjun,60,Male,Post Graduation,Painting,30,68,10,40,65,10,52,8,60
5106,Krishna,43,Female,Post Graduation,Writing,81,1,29,70,93,100,93,34,59
5108,Myra,73,Male,Post Graduation,Photography,40,41,78,6,92,76,100,31,70
5111,Rohan,74,Female,Post Graduation,Music,45,65,3,89,75,35,66,23,61
5114,Ishita,7,Female,Graduation,Gaming,88,13,24,75,20,46,89,77,15
5117,Aanya,11,Female,School,Traveling,86,98,20,20,40,3,66,49,90
5122,Zara,74,Female,Post Graduation,Writing,51,72,88,43,92,94,70,25,59
5127,Arjun,33,Female,School,Painting,85,88,0,90,63,50,56,1,93
5133,Priya,40,Female,School,Photography,29,34,79,30,59,77,98,21,55
5134,Aditya,93,Male,School,Painting,84,33,74,69,13,41,70,9,5
5137,Vivaan,25,Female,School,Painting,10,30,93,36,80,91,73,89,39
5139,Tanvi,75,Male,Graduation,Music,24,5,81,10,57,51,99,41,87
5147,Arjun,74,Female,Graduation,Photography,92,62,9,1,27,61,94,12,56
5153,Myra,23,Male,Graduation,Gaming,3,36,15,52,14,89,65,97,34
5158,Ananya,96,Female,Graduation,Painting,21,71,43,69,93,42,41,5,79
5160,Aanya,91,Male,Graduation,Reading,33,69,100,49,56,33,31,1,0
5166,Arjun,20,Female,School,Dancing,13,88,12,21,60,1,44,22,75
5167,Aanya,98,Male,School,Traveling,21,100,57,96,22,2,69,33,20
5168,Riya,91,Male,Graduation,Cooking,2,9,61,44,67,10,25,96,78
